newnames,group.id2
Trogon_viridis,bird
Turdus_merula,bird
Turdus_philomelos,bird
Turnix_suscitator,bird
Turnix_velox,bird
Tyrannus_savana,bird
Tyrannus_tyrannus,bird
Tyto_alba,bird
Upupa_epops,bird
Uria_aalge,bird
Vanellus_vanellus,bird
Vanga_curvirostris,bird
Vidua_macroura,bird
Vireo_olivaceus,bird
Vultur_gryphus,bird
Bernieria_zosterops,bird
Xenicus_gilviventris,bird
Yuhina_brunneiceps,bird
Zonotrichia_albicollis,bird
Zosterops_fuscicapilla,bird
Erlikosaurus,theropod
Bambiraptor,theropod
Brachylophosaurus_canadensis,other
Camarasaurus_lewisi,other
Diplodocus_carnegiei,other
Chasmosaurus_belli,other
Tyrannosaurus,theropod
Protoceratops_andrewsi,other
Alioramus,theropod
Garudimimus,theropod
Gorgosaurus,theropod
Ornithomimus,theropod
Citipati,theropod
Incisivosaurus,theropod
Plateosaurus_engelhardti,other
Stegosaurus_stenops,other
Teratophoneus,theropod
Struthiomimus,theropod
Majungasaurus,theropod
Diabloceratops_eatoni,other
Stegoceras_validum,other
Prenocephale_prenes,other
Allosaurus,theropod
Panoplosaurus_mirus,other
Pawpawsaurus_campbelli,other
Carnotaurus,theropod
Massospondylus,other
Pachycephalosaurus_wyomingensis,other
Thescelosaurus_neglectus,other
Lambeosaurus_lambei,other
Lambeosaurus_clavintialis,other
Tsaagan,theropod
Tsaagan,theropod
Psittacosaurus_gobiensis,other
Triceratops_prorsus,other
Pinacosaurus_grangeri,other
Hesperornis,bird
Hesperornis,bird
Casuarius_bennetti,bird
Edmontosaurus_regalis,other
